Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
4220,EMAAR THE ECONOMIC CITY,Real Estate,Equity,"4,062,965.58",0.02,"4,062,965.58","1,602,140.00",2.54,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
300896,IMEIK TECHNOLOGY DEVELOPMENT LTD A,Health Care,Equity,"4,051,872.98",0.02,"4,051,872.98","47,500.00",85.3,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
600196,SHANGHAI FOSUN PHARMACEUTICAL (GRO,Health Care,Equity,"4,045,841.05",0.02,"4,045,841.05","566,900.00",7.14,China,Shanghai Stock Exchange,USD,6.71,CNY,-
ANTM,ANEKA TAMBANG,Materials,Equity,"4,031,700.19",0.02,"4,031,700.19","35,150,800.00",0.11,Indonesia,Indonesia Stock Exchange,USD,"14,996.00",IDR,-
596,ANHUI GUJING DISTILLERY LTD A,Consumer Staples,Equity,"4,028,844.87",0.02,"4,028,844.87","112,485.00",35.82,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
895,HENAN SHUANGHUI INVESTMENT & DEVEL,Consumer Staples,Equity,"4,025,380.78",0.02,"4,025,380.78","944,400.00",4.26,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
RLX,RLX TECHNOLOGY AMERICAN DEPOSITARY,Consumer Staples,Equity,"4,018,776.30",0.02,"4,018,776.30","1,913,703.00",2.1,China,New York Stock Exchange Inc.,USD,1,USD,-
338,WEICHAI POWER LTD A,Industrials,Equity,"3,996,778.12",0.02,"3,996,778.12","2,123,744.00",1.88,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
733,CHINA ZHENHUA (GROUP) SCIENCE & TE,Information Technology,Equity,"3,993,589.12",0.02,"3,993,589.12","191,300.00",20.88,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
651,GREE ELECTRIC APPLIANCES INC OF ZH,Consumer Discretionary,Equity,"3,987,737.62",0.02,"3,987,737.62","812,400.00",4.91,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
600886,SDIC POWER HOLDINGS LTD A,Utilities,Equity,"3,986,047.67",0.02,"3,986,047.67","2,374,090.00",1.68,China,Shanghai Stock Exchange,USD,6.71,CNY,-
601169,BANK OF BEIJING LTD A,Financials,Equity,"3,983,450.34",0.02,"3,983,450.34","5,918,206.00",0.67,China,Shanghai Stock Exchange,USD,6.71,CNY,-
1818,ZHAOJIN MINING INDUSTRY LTD H,Materials,Equity,"3,975,372.86",0.02,"3,975,372.86","4,677,500.00",0.85,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
RATCH.R,RATCH GROUP PCL NON-VOTING DR,Utilities,Equity,"3,955,374.88",0.02,"3,955,374.88","3,737,700.00",1.06,Thailand,Stock Exchange Of Thailand,USD,36.15,THB,-
300763,GINLONG TECHNOLOGIES LTD A,Industrials,Equity,"3,943,786.87",0.02,"3,943,786.87","112,200.00",35.15,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
300751,SUZHOU MAXWELL TECHNOLOGIES LTD A,Industrials,Equity,"3,921,390.63",0.02,"3,921,390.63","52,600.00",74.55,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
909,MING YUAN CLOUD GROUP HOLDINGS LTD,Information Technology,Equity,"3,909,913.93",0.02,"3,909,913.93","2,730,000.00",1.43,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
5269,ASMEDIA TECHNOLOGY INC,Information Technology,Equity,"3,908,724.83",0.02,"3,908,724.83","112,000.00",34.9,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,-
2027,FOCUS MEDIA INFORMATION TECHNOLOGY,Communication,Equity,"3,855,942.80",0.01,"3,855,942.80","3,968,778.00",0.97,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
601138,FOXCONN INDUSTRIAL INTERNET LTD A,Information Technology,Equity,"3,846,586.85",0.01,"3,846,586.85","2,687,597.00",1.43,China,Shanghai Stock Exchange,USD,6.71,CNY,-
SAWAD.R,SRISAWAD CORPORATION PCL NON-VOTIN,Financials,Equity,"3,810,356.20",0.01,"3,810,356.20","2,884,300.00",1.32,Thailand,Stock Exchange Of Thailand,USD,36.15,THB,-
2920,HUIZHOU DESAY SV AUTOMOTIVE LTD A,Consumer Discretionary,Equity,"3,796,197.29",0.01,"3,796,197.29","158,000.00",24.03,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
601111,AIR CHINA LTD A,Industrials,Equity,"3,788,107.57",0.01,"3,788,107.57","2,495,793.00",1.52,China,Shanghai Stock Exchange,USD,6.71,CNY,-
3808,SINOTRUK (HONG KONG) LTD,Industrials,Equity,"3,769,438.27",0.01,"3,769,438.27","2,861,000.00",1.32,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
601689,NINGBO TUOPU GROUP CLS LTD A,Consumer Discretionary,Equity,"3,763,661.66",0.01,"3,763,661.66","340,100.00",11.07,China,Shanghai Stock Exchange,USD,6.71,CNY,-
60,MERITZ FIRE & MARINE INSURANCE LTD,Financials,Equity,"3,744,670.13",0.01,"3,744,670.13","149,758.00",25,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
600150,CHINA CSSC HOLDINGS LTD A,Industrials,Equity,"3,740,193.71",0.01,"3,740,193.71","1,328,800.00",2.81,China,Shanghai Stock Exchange,USD,6.71,CNY,-
600989,NINGXIA BAOFENG ENERGY GROUP LTD A,Materials,Equity,"3,737,483.76",0.01,"3,737,483.76","1,776,100.00",2.1,China,Shanghai Stock Exchange,USD,6.71,CNY,-
1979,CHINA MERCHANTS SHEKOU INDUSTRIAL,Real Estate,Equity,"3,727,330.38",0.01,"3,727,330.38","1,971,190.00",1.89,China,Shenzhen Stock Exchange,USD,6.71,CNY,-
